Timestamp,Gender,Age,Have you ever received a suspicious email or message?,Have you encountered a phishing attempt online?,Do you know what is Cybercrime?,Have you experienced or known someone who has experienced cybercrime?,"If yes, what type of cyber crime have you faced and how did you avoid the problem?",What are the cybercrimes that you know of?,Are you aware of cyber crimes that occur among teenagers?,What cybercrimes do you think that occurs among the teenagers?,Have you ever been exposed to ways to prevent yourself from becoming a victim of cybercrime?,Do you know how to prevent cybercrime that occurs nowadays?,"Do you know how to protect personal information online such as name, address and phone number from being leaked?",Have you heard of the concept of two-factor authentication and how it can help protect your account?,Do you know how to make sure every websites you visit are safe and how you protect yourself from malware and other online threats?,"On a scale of 1-5, where 1 is very dangerous and 5 is very safe, how safe you feel when you were online?",What are the effects of cybercrimes in your opinion?,What are the best ways to prevent cybercrimes from happening?
17/01/2023 11:39:45,Male,22 - 24 years old,Yes,Yes,Yes,Yes,Phishing,"Fraud, Damage or modification of computer programs or data, Information theft, Hacking",Yes,"Identity theft and information theft, Harassment and bullying online, Privacy invasion, Fraud involves finances",No,No,No,Yes,No,1,"Loss of personal and financial information, Loss of privacy, Spread of wrong information, Negative impact on society, Damage to the computer system, Service interruption on certain parties, Experiencing emotional stress","Use unique and strong passwords, Keep software and devices up to date, Be careful when sharing personal information, Install security software such as antivirus, Use 2-factor authentication (2FA), Beware of phishing scams"
17/01/2023 11:54:52,Male,25 years old and above,Yes,Yes,Yes,Yes,hacking account. Hack their account back,"Information theft, Hacking",Yes,Identity theft and information theft,No,Yes,Yes,Yes,Yes,4,"Loss of personal and financial information, Loss of privacy, Spread of wrong information",Be careful when sharing personal information
17/01/2023 11:59:04,Male,22 - 24 years old,Yes,Yes,Yes,Yes,"Identify theft, avoiding it by ignoring it",Information theft,Yes,"Identity theft and information theft, Harassment and bullying online, Privacy invasion",Yes,Yes,Yes,Yes,Yes,2,"Loss of personal and financial information, Loss of privacy, Spread of wrong information, Damage to the computer system","Use unique and strong passwords, Keep software and devices up to date, Be careful when sharing personal information, Use 2-factor authentication (2FA)"
17/01/2023 12:11:55,Male,19 - 21 years old,Yes,Yes,Yes,Yes,,"Fraud, Damage or modification of computer programs or data",No,"Harassment and bullying online, Privacy invasion",Yes,Yes,Yes,Yes,Yes,3,"Loss of privacy, Spread of wrong information","Use unique and strong passwords, Keep software and devices up to date"
17/01/2023 12:13:27,Male,22 - 24 years old,No,No,Yes,No,,"Fraud, Damage or modification of computer programs or data, Information theft, Hacking",Yes,"Identity theft and information theft, Harassment and bullying online, Privacy invasion",Yes,Yes,Yes,Yes,Yes,4,"Loss of personal and financial information, Loss of privacy","Use unique and strong passwords, Keep software and devices up to date, Be careful when sharing personal information, Use 2-factor authentication (2FA), Beware of phishing scams"
17/01/2023 12:15:55,Female,22 - 24 years old,Yes,Yes,Yes,Yes,account hacking - i made sure to change my password and activate two-factor authentication to secure my account. ,Fraud,Yes,"Harassment and bullying online, Privacy invasion, Fraud involves finances",Yes,Yes,Yes,Yes,No,3,"Loss of personal and financial information, Loss of privacy, Spread of wrong information, Negative impact on society, Experiencing emotional stress","Use unique and strong passwords, Be careful when sharing personal information, Use 2-factor authentication (2FA), Beware of phishing scams"
17/01/2023 12:42:09,Male,22 - 24 years old,Yes,Yes,No,Yes,,"Fraud, Damage or modification of computer programs or data, Information theft, Hacking",No,Harassment and bullying online,No,No,No,Yes,No,3,Experiencing emotional stress,"Install security software such as antivirus, Use 2-factor authentication (2FA)"
17/01/2023 12:44:21,Male,22 - 24 years old,Yes,Yes,Yes,Yes,"online scams, did not share the important information","Fraud, Information theft, Hacking",Yes,"Identity theft and information theft, Privacy invasion",Yes,Yes,Yes,Yes,No,3,"Loss of personal and financial information, Service interruption on certain parties","Use unique and strong passwords, Be careful when sharing personal information, Use 2-factor authentication (2FA), Beware of phishing scams"
17/01/2023 12:57:37,Male,22 - 24 years old,No,No,Yes,Yes,"Scammers, phishing, theft identity ","Fraud, Damage or modification of computer programs or data, Information theft, Hacking",Yes,"Identity theft and information theft, Harassment and bullying online, Privacy invasion, Fraud involves finances",No,Yes,Yes,Yes,Yes,3,"Loss of personal and financial information, Loss of privacy, Spread of wrong information, Negative impact on society, Service interruption on certain parties, Experiencing emotional stress","Use unique and strong passwords, Keep software and devices up to date, Be careful when sharing personal information, Use 2-factor authentication (2FA), Beware of phishing scams"
17/01/2023 14:18:10,Female,22 - 24 years old,Yes,Yes,Yes,No,,"Fraud, Damage or modification of computer programs or data, Information theft, Hacking",Yes,"Identity theft and information theft, Harassment and bullying online, Privacy invasion, Fraud involves finances",Yes,No,No,Yes,No,3,"Loss of personal and financial information, Loss of privacy, Spread of wrong information, Negative impact on society, Damage to the computer system, Service interruption on certain parties, Experiencing emotional stress","Use unique and strong passwords, Keep software and devices up to date, Be careful when sharing personal information, Install security software such as antivirus, Use 2-factor authentication (2FA), Beware of phishing scams"
